Year,Region,Total,Crimes against the person,Murder,Intentional murder,Attempted murder,Killing a newborn,Pushing to suicide,Lust,Molestation,Rape,Attempted rape,Pimping,Forced homosexualism,Body injury,Severe body injury,Kidnapping,Keeping hostage,Human trafficing,Crime against property,Robbery,Armed robbery,Armed robbery with firearms,Stealing,Pickpocketing,Breaking and entering,Office break in,Store break in,Vehicle break in ,Fraud,Extortion,Generally dangerous crime,Arson,Damage through explosion,Illegal firearms ownership,Vehicle theft,Falsifying license plates,Illegal entry of a vehicle,Crimes related to drugs,Smuggling,"Production, possession, distribution, carrying"
2000,Plovdiv,45.88341346,88.66141732,70.90909091,89.28571429,87.5,0,16.66666667,89.74358974,82.14285714,97.05882353,83.33333333,100,0,84.84848485,100,80.95238095,0,93.98734177,35.8836689,38.66995074,35.41666667,26.66666667,26.37528259,21.69811321,22.06943967,20.40816327,25.12647555,24.38752784,89.58990536,85.71428571,43.95480226,21.09375,15,98.55072464,20,0,100,96.42857143,0,96.22641509
2000,Razgrad,64.50617284,93.33333333,87.5,83.33333333,100,100,100,93.93939394,85.71428571,100,100,0,0,91.42857143,100,100,100,100,60.99887767,63.15789474,100,0,59.27492447,35.55555556,30.73047859,50,45.19774011,55.78947368,84.90566038,100,61.31687243,26.53061224,0,100,0,0,0,100,0,100
2000,Ruse,48.59813084,84.21052632,68.18181818,80,83.33333333,100,0,95.83333333,83.33333333,100,100,0,100,76.66666667,50,100,0,89.47368421,38.22304489,38.1443299,37.5,40,34.95297806,55.55555556,30.60179257,24.32432432,35.0877193,20.93933464,82.53968254,90,59.50413223,12.96296296,0,84.61538462,0,0,0,100,0,100
2000,Silistra,53.44070278,88.03418803,77.77777778,100,100,0,40,95.83333333,87.5,100,100,0,0,91.07142857,0,100,0,75,40.34364261,68,0,0,38.34698436,63.63636364,24.51790634,42.85714286,27.53623188,27.04081633,81.25,100,72.16981132,17.07317073,0,85.71428571,0,0,0,100,0,100
2000,Sliven,62.43027888,86.66666667,77.27272727,76.92307692,100,50,0,96.2962963,87.5,100,0,100,100,84.375,100,50,0,95,55.48424737,51.42857143,0,0,54.89821883,46.66666667,35.55555556,60,42.69662921,41.21621622,82.5,0,59.41644562,12.5,0,95.23809524,0,0,0,100,0,100
2000,Smolyan,72.15311005,96.15384615,100,100,100,0,0,100,100,100,0,0,0,90.47619048,50,0,0,100,60.45112782,85.71428571,0,0,56.13718412,0,41.66666667,25,51.02040816,51.13636364,82.69230769,100,90.82568807,47.61904762,0,100,0,0,0,0,0,0
2000,Sofia  city,32.93469497,69.6,46.34146341,72.34042553,82.85714286,0,6.060606061,81.74603175,81.25,76.78571429,100,100,0,72.43589744,88.88888889,80.43478261,0,78.43137255,32.85848613,38.69918699,27.21088435,23.75,28.7087612,66.88121709,19.64516129,11.92528736,48.56133266,26.69927909,77.77777778,83.33333333,21.25730994,15.18987342,7.692307692,75.51020408,31.57894737,0,0,98.65771812,0,98.6013986
2000,Sofia,48.42748092,75.45787546,42.66666667,36.84210526,75,100,35.29411765,96.15384615,100,100,0,0,0,85.9375,80,100,0,83.87096774,39.07018328,48.68421053,16.66666667,16.66666667,35.77799802,45,29.91026919,45.16129032,30.73770492,38.88888889,87.5,80,58.85328836,45.58823529,0,96.66666667,16.66666667,0,0,100,0,100
2000,Stara Zagora,44.82815598,83.46666667,75,82.35294118,88.23529412,100,50,89.83050847,83.33333333,90.32258065,80,100,100,85,60,87.5,0,78.57142857,36.12263716,53.03643725,46.66666667,83.33333333,32.36459709,18.26923077,32.55406195,38.75,30.18018018,28.26086957,74.25149701,71.42857143,53.34750266,15,0,92.15686275,66.66666667,0,0,100,0,100
2000,Targovishte,62.10775607,92.1875,76.92307692,66.66666667,100,0,50,95.83333333,100,100,50,0,100,93.93939394,100,50,0,95.65217391,53.31152903,83.33333333,50,100,49.49402024,58.33333333,46.39175258,58.82352941,47.88732394,53.07692308,87.75510204,100,73.39449541,31.25,0,100,100,0,0,0,0,0
2000,Haskovo,44.39862543,90.44585987,88.88888889,88.88888889,100,0,0,95,71.42857143,100,100,0,100,86.76470588,100,92.85714286,100,93.75,37.45421245,57.53424658,0,0,35.36706349,20,27.91519435,25.58139535,28,27.6816609,60.97560976,100,47.54098361,17.80821918,0,95.23809524,50,0,0,100,0,100
2000,Shumen,59.55124318,90.96045198,84.21052632,100,100,0,33.33333333,95.34883721,93.75,93.75,100,100,100,88.54166667,100,100,0,100,54.22984836,64.44444444,100,100,52.52525253,34.7826087,31.93717277,31.57894737,38.23529412,31.59722222,54.6875,100,63.83928571,34.375,0,96.42857143,0,0,0,100,0,100
2000,Yambol,59.23913043,89.63963964,78.57142857,66.66666667,100,0,0,91.30434783,77.77777778,100,100,100,100,85.4368932,100,100,0,96.20253165,50.18646777,64.70588235,0,0,47.79236277,52.94117647,36.20689655,47.05882353,42.69005848,30.8,80,100,69.43396226,15.38461538,0,90.90909091,100,0,0,100,0,100
2000,Total,45.57557974,84.98222749,69.73392461,77.99352751,87.20930233,50,46.2406015,92.62135922,89.25081433,94.35028249,90.32258065,98.07692308,88.88888889,84.11154345,90.78947368,86.4978903,100,90.44756179,38.85607552,45.85091421,33.85093168,28.91566265,35.5056464,51.27207423,25.5050057,30.13022003,38.24595055,26.47099352,78.51909995,86.72985782,46.21601441,22.34829798,16.52173913,93.48404255,38.35616438,0,50,97.37470167,0,98.70801034
2001,Blagoevgrad,48.3142592,90.90909091,92.30769231,100,100,0,0,100,100,100,0,100,100,90.625,100,83.33333333,0,72.72727273,34.61374306,60.25641026,66.66666667,0,31.69291339,22.72727273,25.75452716,17.5,35.96059113,28.03970223,65.51724138,100,81.04575163,22.22222222,0,88.46153846,100,50,100,94.20289855,0,100
2001,Burgas,53.20050384,90.98039216,89.65517241,91.66666667,91.66666667,0,0,92.98245614,88.88888889,100,100,75,100,84.07960199,83.33333333,100,0,96.71361502,47.08909617,58.77862595,50,50,43.12130178,49.27536232,35.32363271,22.22222222,42.99424184,42.59259259,79.09319899,89.47368421,50.71022727,21.62162162,0,94.44444444,66.66666667,100,25,100,0,100
2001,Varna,46.87264506,91.32492114,91.61290323,78.94736842,50,100,98.26086957,96.58119658,97.36842105,96.36363636,100,90,100,86.82926829,83.33333333,84.21052632,0,94.20289855,37.7686068,51.19305857,40,33.33333333,33.60599864,21.81818182,28.08683853,29.24528302,44.17582418,21.32152589,87.82608696,84,47.9252166,23.17073171,0,97.87234043,25,50,100,98.86363636,0,98.86363636
2001,Veliko Turnovo,54.25185874,92.89340102,87.5,90,100,0,0,94.59459459,90,95,100,0,100,92.59259259,50,100,0,93.33333333,47.09696434,53,0,0,44.92099323,50.70422535,29.76939203,27.27272727,36.58536585,34.42028986,78.43137255,75,68.98047722,26.19047619,50,88,0,0,0,100,0,100
2001,Vidin,54.22149123,90.26548673,77.77777778,100,100,0,0,100,100,100,0,100,0,88.57142857,100,100,0,93.75,46.43377001,61.9047619,0,0,43.02229562,25,32.89473684,38.46153846,33.33333333,30.55555556,88.88888889,100,59.79381443,22.22222222,0,100,0,0,0,100,0,100
2001,Vratsa,53.50626511,92.54658385,76.47058824,85.71428571,100,100,50,98.14814815,100,100,100,100,0,91.70506912,75,100,0,96.55172414,45.29966535,61.29032258,0,0,43.70468029,51.13636364,34.93975904,57.69230769,39.19413919,46.37681159,71.79487179,80,58.72781065,19.65811966,14.28571429,90.24390244,75,100,0,100,0,100
2001,Gabrovo,82.03883495,96,80,50,100,0,0,100,100,100,100,0,0,97.95918367,100,100,0,90.90909091,75.250501,68,0,0,73.58916479,82.60869565,63.78830084,86.66666667,67.39130435,61.72839506,92.59259259,100,90.33942559,75,0,100,100,100,100,100,0,100
2001,Dobritch,41.00244499,88.51351351,69.56521739,100,100,50,40,94.59459459,100,94.73684211,100,66.66666667,100,92.64705882,100,100,0,70,32.75915103,40.69767442,50,40,29.84469953,19.11764706,21.29934211,17.30769231,30.11152416,28.1030445,79.31034483,66.66666667,55.28089888,23.21428571,0,100,0,0,0,96.55172414,0,96.42857143
2001,Kardzhali,62.77705346,95.45454545,66.66666667,100,100,0,0,86.66666667,100,87.5,100,50,0,97.05882353,0,100,0,100,54.18181818,75.67567568,0,0,51.87969925,71.42857143,54.64285714,20,69.89247312,52.08333333,86.20689655,100,78.125,28.125,0,93.75,0,0,0,100,0,100
2001,Kyustendil,50.93250444,92.42424242,87.5,66.66666667,100,0,0,92,90,93.33333333,0,0,0,90.27777778,100,100,0,100,37.5390381,71.42857143,0,0,34.4296711,34.375,30.45897079,43.75,37.07865169,28.20512821,68.42105263,100,77.33711048,34.28571429,0,91.66666667,33.33333333,0,0,95.45454545,0,100
2001,Lovech,59.56022945,93.91891892,85.71428571,90,50,100,0,100,100,100,100,0,0,93.33333333,100,100,0,95.83333333,47.4137931,66.66666667,50,0,42.45204337,50,39.07284768,69.23076923,31.91489362,29.88505747,86.20689655,0,75.94936709,21.27659574,33.33333333,97.61904762,100,0,0,100,0,100
2001,Montana,63.72584761,93.87755102,95.45454545,100,100,50,0,100,100,100,100,0,0,91.66666667,100,100,0,94.73684211,56.36910732,56.25,0,0,53.98907104,38.0952381,40.93264249,70.90909091,44.54976303,47.27272727,96.77419355,100,73.31730769,17.39130435,100,100,0,100,100,100,0,100
2001,Pazardzhik,40.08042895,81.51658768,61.11111111,60,85.71428571,0,25,92.85714286,92.30769231,100,66.66666667,0,0,71.42857143,0,100,0,96.875,29.35323383,46.15384615,66.66666667,66.66666667,26.36012636,14.77272727,18.51851852,35.59322034,22.00772201,13.9088729,54.54545455,63.63636364,51.79640719,12.90322581,37.5,82.75862069,40,40,0,92.85714286,0,90.90909091
2001,Pernik,40.29765312,88.98678414,46.15384615,100,100,100,0,100,100,100,100,0,0,85.04672897,100,88.88888889,0,98.75,26.04032604,56.96202532,0,0,22.38301978,59.375,19.61620469,22.91666667,34.13461538,19.55555556,60,83.33333333,53.03951368,9.302325581,0,96.15384615,0,100,0,100,0,100
2001,Pleven,47.95816733,85.60311284,88,100,100,66.66666667,0,94.23076923,89.47368421,100,100,100,66.66666667,80.46875,100,89.47368421,0,87.87878788,36.30858937,38.49372385,0,0,33.37605742,33.10344828,22.8,33.57142857,34.42211055,22.93762575,83,75,72.81045752,24.13793103,25,94.73684211,100,0,100,96.96969697,0,100
2001,Plovdiv,49.0425035,88.75739645,75.40983607,90.47619048,93.75,0,14.28571429,85.07462687,80,84.61538462,100,87.5,80,87.23404255,100,100,0,93.39622642,40.3658946,47.36842105,46.875,33.33333333,30.5099395,21.875,24.03361345,23.28767123,28.63070539,21.4893617,93.53680431,72.22222222,50.96551724,27.72277228,25,97.77777778,25,83.33333333,40,99.13793103,0,100
2001,Razgrad,68.14845024,96.20853081,83.33333333,75,100,100,0,97.05882353,100,100,100,50,100,96.05263158,100,100,0,98.73417722,62.58953168,51.72413793,0,0,62.37388724,46.34146341,40.9375,50,54.54545455,58.01104972,62.5,100,68.56060606,45.16129032,0,100,0,0,0,100,0,100
2001,Ruse,50.74816937,87.43169399,60,33.33333333,66.66666667,100,50,96.55172414,88.88888889,100,100,100,100,79.59183673,0,100,0,91.11111111,39.66408269,55.71428571,20,20,36,48.7804878,31.52053274,47.61904762,50.78534031,24.90118577,72.88135593,87.5,70.53571429,8.823529412,0,80,0,0,0,100,0,100
